timestamp,attack_type,src_ip,dst_ip,dst_port,protocol,info
1752521518.592267,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.706675,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521518.802222,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521518.920323,BruteForce,172.66.1.46,192.168.1.42,51738,,Attempts: 200
1752521519.013362,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.09603,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.108417,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521519.129607,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.159724,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.173353,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.188896,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.198997,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521519.21533,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.242965,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521519.287908,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.436616,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.506664,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.542576,BruteForce,172.66.1.46,192.168.1.42,51737,,Attempts: 200
1752521519.617594,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.669239,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.693908,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521519.703343,BruteForce,172.66.1.46,192.168.1.42,51738,,Attempts: 200
1752521519.781886,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.889752,Exfiltration,192.168.1.42,,,,Total bytes sent: 10000082
1752521519.895674,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521519.938726,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
